3-beta-D-glucan synthase complex ; GO:0000148
6-mannosyltransferase complex ; GO:0000136
6-phosphofructokinase complex ; GO:0005945
90S preribosome ; GO:0030686
acetolactate synthase complex ; GO:0005948
actin filament ; GO:0005884
acyl-CoA ceramide synthase complex ; GO:0061576
Ada2/Gcn5/Ada3 transcription activator complex ; GO:0005671
alpha DNA polymerase:primase complex ; GO:0005658
alpha-subunit complex ; GO:0019773
alpha-trehalose-phosphate synthase complex (UDP-forming) ; GO:0005946
anaphase-promoting complex ; GO:0005680
anthranilate synthase complex ; GO:0005950
AP-1 adaptor complex ; GO:0030121
AP-2 adaptor complex ; GO:0030122
AP-3 adaptor complex ; GO:0030123
Arp2/3 protein complex ; GO:0005885
Asi complex ; GO:0097658
ASTRA complex ; GO:0070209
astral microtubule ; GO:0000235
Atg12-Atg5-Atg16 complex ; GO:0034274
Atg1/ULK1 kinase complex ; GO:1990316
base subcomplex ; GO:0008540
beta-subunit complex ; GO:0019774
Bfa1-Bub2 complex ; GO:1990334
BLOC-1 complex ; GO:0031083
box C/D snoRNP complex ; GO:0031428
box H/ACA snoRNP complex ; GO:0031429
CAAX-protein geranylgeranyltransferase complex ; GO:0005953
CAF-1 complex ; GO:0033186
calcineurin complex ; GO:0005955
cAMP-dependent protein kinase complex ; GO:0005952
carbamoyl-phosphate synthase complex ; GO:0005951
carboxy-terminal domain protein kinase complex ; GO:0032806
cargo-selective complex ; GO:0030906
catalytic core F(1) ; GO:0045261
catalytic core ; GO:0005754
Cbf1-Met4-Met28 complex ; GO:0089713
CBF3 complex ; GO:0031518
Cbp3p-Cbp6 complex ; GO:0061671
CCAAT-binding factor complex ; GO:0016602
CCR4-NOT complex ; GO:0030014
CCR4-NOT core complex ; GO:0030015
Cdc48p-Npl4p-Vms1p AAA ATPase complex ; GO:0036266
Cdc50p-Drs2p complex ; GO:1990530
Cdc73/Paf1 complex ; GO:0016593
cell cortex ; GO:0005938
cell ; GO:0005623
cellular bud ; GO:0005933
cellular component ; GO:0005575
cell wall ; GO:0005618
CENP-A containing nucleosome ; GO:0043505
central plaque of spindle pole body ; GO:0005823
central stalk ; GO:0005756
centromeric region ; GO:0000775
centromeric region ; GO:0000780
chaperonin-containing T-complex ; GO:0005832
checkpoint clamp complex ; GO:0030896
CHRAC ; GO:0008623
chromatin ; GO:0000785
chromatin silencing complex ; GO:0005677
chromosome ; GO:0005694
chromosome passenger complex ; GO:0032133
cilium ; GO:0005929
clathrin vesicle coat ; GO:0030125
CoA-synthesizing protein complex ; GO:1990143
COMA complex ; GO:0000817
commitment complex ; GO:0000243
condensed nuclear chromosome kinetochore ; GO:0000778
condensed nuclear chromosome outer kinetochore ; GO:0000942
COP9 signalosome ; GO:0008180
COPII vesicle coat ; GO:0030127
COPI vesicle coat ; GO:0030126
core complex ; GO:0005665
core mediator complex ; GO:0070847
CORVET complex ; GO:0033263
coupling factor F(o) ; GO:0000276
CST complex ; GO:1990879
CTDK-1 complex ; GO:0070692
Ctf18 RFC-like complex ; GO:0031390
Cul3-RING ubiquitin ligase complex ; GO:0031463
Cul8-RING ubiquitin ligase complex ; GO:0035361
CURI complex ; GO:0032545
Cvt complex ; GO:0034270
cyclin-dependent protein kinase holoenzyme complex ; GO:0000307
cytoplasm ; GO:0005737
cytoplasmic chromosome ; GO:0000229
cytoplasmic dynein complex ; GO:0005868
cytoplasmic exosome (RNase complex) ; GO:0000177
cytoplasmic microtubule ; GO:0005881
cytoplasmic stress granule ; GO:0010494
cytoplasmic vesicle ; GO:0031410
cytoskeleton ; GO:0005856
cytosol ; GO:0005829
cytosolic large ribosomal subunit ; GO:0022625
cytosolic ribosome ; GO:0022626
cytosolic small ribosomal subunit ; GO:0022627
DASH complex ; GO:0042729
Dbf4-dependent protein kinase complex ; GO:0031431
dehydrodolichyl diphosphate synthase complex ; GO:1904423
delta DNA polymerase complex ; GO:0043625
DNA helicase A complex ; GO:0033203
DNA ligase IV complex ; GO:0032807
DNA replication factor A complex ; GO:0005662
DNA replication factor C complex ; GO:0005663
DNA replication preinitiation complex ; GO:0031261
Doa10p ubiquitin ligase complex ; GO:0000837
dolichyl-phosphate-mannose-protein mannosyltransferase complex ; GO:0031502
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex ; GO:0097582
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt3p dimer complex ; GO:0097583
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt4p homodimer complex ; GO:0097586
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt2p dimer complex ; GO:0097584
dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt3p dimer complex ; GO:0097585
Dom34-Hbs1 complex ; GO:1990533
Dsc E3 ubiquitin ligase complex ; GO:0044695
DSIF complex ; GO:0032044
Dsl1/NZR complex ; GO:0070939
DUBm complex ; GO:0071819
dynactin complex ; GO:0005869
EGO complex ; GO:0034448
eisosome ; GO:0032126
EKC/KEOPS complex ; GO:0000408
Elg1 RFC-like complex ; GO:0031391
Elongator holoenzyme complex ; GO:0033588
elongin complex ; GO:0070449
endomembrane system ; GO:0012505
endoplasmic reticulum ; GO:0005783
endoplasmic reticulum palmitoyltransferase complex ; GO:0031211
endoplasmic reticulum targeting ; GO:0005786
endosome ; GO:0005768
epsilon DNA polymerase complex ; GO:0008622
eRF1 methyltransferase complex ; GO:0035657
ER membrane protein complex ; GO:0072546
ERMES complex ; GO:0032865
ESCRT-0 complex ; GO:0033565
ESCRT I complex ; GO:0000813
ESCRT II complex ; GO:0000814
ESCRT III complex ; GO:0000815
eukaryotic 43S preinitiation complex ; GO:0016282
eukaryotic 48S preinitiation complex ; GO:0033290
eukaryotic translation elongation factor 1 complex ; GO:0005853
eukaryotic translation initiation factor 2B complex ; GO:0005851
eukaryotic translation initiation factor 2 complex ; GO:0005850
eukaryotic translation initiation factor 3 complex ; GO:0005852
eukaryotic translation initiation factor 4F complex ; GO:0016281
exocyst ; GO:0000145
exomer complex ; GO:0034044
exosome (RNase complex) ; GO:0000178
external encapsulating structure ; GO:0030312
extracellular region ; GO:0005576
extracellular space ; GO:0005615
FACT complex ; GO:0035101
F-actin capping protein complex ; GO:0008290
FAL1-SGD1 complex ; GO:0097078
FANCM-MHF complex ; GO:0071821
fatty acid synthase complex ; GO:0005835
filamentous actin ; GO:0031941
GARP complex ; GO:0000938
GATOR1 complex ; GO:1990130
GET complex ; GO:0043529
GID complex ; GO:0034657
GINS complex ; GO:0000811
glucosidase II complex ; GO:0017177
glutaminase complex ; GO:1903600
glutamyl-tRNA(Gln) amidotransferase complex ; GO:0030956
glutathione hydrolase complex ; GO:0061672
glycine cleavage complex ; GO:0005960
