reference_pmid	reference_sgdid	curation_tag	entity_type	entity_name	entity_sgdid	note	created_by	date_created
PMID:35058181	SGD:S000313441	Classical phenotype information	gene	MCM2	SGD:S000000119		JODILS	2022-01-31
PMID:37428107	SGD:S000344474	Classical phenotype information	gene	INO2	SGD:S000002530	examined sensitivity to glabridin and wighteone; ERG2 ERG5 ERG6 are highly sensitive; FAA genes resistant, IPT1 and ALE1 are resistant; YDC1 ELO2 ELO3 hypersensitive (see fig 4 for summary); PAH1 DPP1 LPP1 TGL3 CHO2 OPI3 PCT1 CPT1 INO2 INO4 TRP1 PEP4 VTC4 hypersensitive; HAC1 and HSP104 are resistant	NASH	2023-07-17
PMID:35166010	SGD:S000313894	Regulation information	gene	SCH9	SGD:S000001248	direct phosphorylation of SCH9 by SGV1 shown by mass spec 	JODILS	2022-02-22
PMID:35166010	SGD:S000313894	Regulation information	gene	SGV1	SGD:S000006365	direct phosphorylation of SCH9 by SGV1 shown by mass spec 	JODILS	2022-02-22
PMID:37076829	SGD:S000343164	Engineering	allele	acc1-S659A,S1157A	SGD:S000299405		NASH	2023-04-24
PMID:37428107	SGD:S000344474	Classical phenotype information	gene	PEP4	SGD:S000006075	examined sensitivity to glabridin and wighteone; ERG2 ERG5 ERG6 are highly sensitive; FAA genes resistant, IPT1 and ALE1 are resistant; YDC1 ELO2 ELO3 hypersensitive (see fig 4 for summary); PAH1 DPP1 LPP1 TGL3 CHO2 OPI3 PCT1 CPT1 INO2 INO4 TRP1 PEP4 VTC4 hypersensitive; HAC1 and HSP104 are resistant	NASH	2023-07-17
PMID:37471042	SGD:S000344618	Classical phenotype information	gene	REV1	SGD:S000005873		STACIA	2023-07-27
PMID:36140745	SGD:S000339872	Classical phenotype information	gene	REV3	SGD:S000006088	increased UV sensitivity (fig 3a), and decreased frequency of UV-induced mutagenesis (fig. 3b) at high dose	NASH	2022-09-28
PMID:36932975	SGD:S000342766	Classical phenotype information	gene	MDJ1	SGD:S000001878		STACIA	2023-03-27
PMID:36932975	SGD:S000342766	Classical phenotype information	gene	YDJ1	SGD:S000005008		STACIA	2023-03-27
PMID:37531631	SGD:S000344792	Classical phenotype information	gene	CLN3	SGD:S000000038	ras2-G19V	STACIA	2023-08-07
PMID:37531631	SGD:S000344792	Classical phenotype information	gene	RAS2	SGD:S000005042	ras2-G19V	STACIA	2023-08-07
PMID:37076829	SGD:S000343164	Engineering	gene	ARO7	SGD:S000006264		NASH	2023-04-24
PMID:37076829	SGD:S000343164	Engineering	gene	ARO4	SGD:S000000453		NASH	2023-04-24
PMID:37076829	SGD:S000343164	Engineering	gene	ARO2	SGD:S000003116		NASH	2023-04-24
PMID:37076829	SGD:S000343164	Engineering	gene	CYB5	SGD:S000005055		NASH	2023-04-24
