gene_name/feature_name	feature_name/alias	systematic_name	dbentity_id
HSX1	tR(CCU)J	YNCJ0025W	1267076
ARS1	ARS1	ARS416	1284255
ARS1004	ARS1004	ARS1004	1270612
ARS1005	ARS1005	ARS1005	1270618
ARS1006	ARS1006	ARS1006	1270624
ARS1007	ARS1007	ARS1007	1270631
ARS1009	ARS1009	ARS1009	1270643
ARS101	ARS101	ARS109	1290275
ARS1010	ARS1010	ARS1010	1270649
ARS1011	ARS1011	ARS1011	1270655
ARS1012	ARS1012	ARS1012	1270662
ARS1013	ARS1013	ARS1013	1270668
ARS1014	ARS1014	ARS1014	1270675
ARS1015	ARS1015	ARS1015	1282858
ARS1016	ARS1016	ARS1016	1282859
ARS1017	ARS1017	ARS1017	1282860
ARS1018	ARS1018	ARS1018	1282861
ARS1019	ARS1019	ARS1019	1282862
ARS1020	ARS1020	ARS1020	1282863
ARS1021	ARS1021	ARS1021	1282864
ARS1022	ARS1022	ARS1022	1282865
ARS1023	ARS1023	ARS1023	1282866
ARS1024	ARS1024	ARS1024	1266436
ARS103	ARS103	ARS103	1312953
ARS104	ARS104	ARS104	1312833
ARS105	ARS105	ARS105	1312954
ARS106	ARS106	ARS106	1312834
ARS107	ARS107	ARS107	1312969
ARS108	ARS108	ARS108	1312955
ARS110	ARS110	ARS110	1312803
ARS1102	ARS1102	ARS1102	1312744
ARS1103	ARS1103	ARS1103	1313157
ARS1104	ARS1104	ARS1104	1312745
ARS1106	ARS1106	ARS1106	1313158
ARS1109	ARS1109	ARS1109	1313159
ARS1112	ARS1112	ARS1112	1313160
ARS1113	ARS1113	ARS1113	1313161
ARS1114	ARS1114	ARS1114	1313162
ARS1115	ARS1115	ARS1115	1312746
ARS1116	ARS1116	ARS1116	1313163
ARS1118	ARS1118	ARS1118	1313164
ARS1120	ARS1120	ARS1120	1313165
ARS1123	ARS1123	ARS1123	1313166
ARS1125	ARS1125	ARS1125	1313395
ARS1126	ARS1126	ARS1126	1313396
ARS1127	ARS1127	ARS1127	1313397
ARS1202	ARS1202	ARS1202	1312771
ARS1206	ARS1206	ARS1206	1312844
ARS1207	ARS1207	ARS1207	1312772
ARS1208	ARS1208	ARS1208	1313318
ARS1209	ARS1209	ARS1209	1312845
ARS1210	ARS1210	ARS1210	1311286
ARS1211	ARS1211	ARS1211	1312846
ARS1212	ARS1212	ARS1212	1312847
ARS1212.5	ARS1212.5	ARS1212.5	1311289
ARS1213	ARS1213	ARS1213	1312848
ARS1214	ARS1214	ARS1214	1312773
ARS1215	ARS1215	ARS1215	1312849
ARS1216	ARS1216	ARS1216	1312850
ARS1217	ARS1217	ARS1217	1312851
ARS1218	ARS1218	ARS1218	1312881
ARS1219	ARS1219	ARS1219	1312774
ARS1220	ARS1220	ARS1220	1312882
ARS1221	ARS1221	ARS1221	1312775
ARS1223	ARS1223	ARS1223	1312883
ARS1226	ARS1226	ARS1226	1312884
ARS1228	ARS1228	ARS1228	1312776
ARS1230	ARS1230	ARS1230	1312777
ARS1232	ARS1232	ARS1232	1312885
ARS1233	ARS1233	ARS1233	1312886
ARS1234	ARS1234	ARS1234	1312887
ARS1235	ARS1235	ARS1235	1311300
ARS1238	ARS1238	ARS1238	1313052
ARS1303	ARS1303	ARS1303	1312990
ARS1304	ARS1304	ARS1304	1312778
ARS1305	ARS1305	ARS1305	1312991
ARS1307	ARS1307	ARS1307	1312992
ARS1307.5	ARS1307.5	ARS1307.5	1311306
ARS1308	ARS1308	ARS1308	1312993
ARS1309	ARS1309	ARS1309	1312994
ARS1310	ARS1310	ARS1310	1312995
ARS1312	ARS1312	ARS1312	1312996
ARS1316	ARS1316	ARS1316	1312997
ARS1317	ARS1317	ARS1317	1312779
ARS1319	ARS1319	ARS1319	1312780
ARS1320	ARS1320	ARS1320	1312998
