gene_name or feature_name	feature_name or alias	contig	strain	feature.start	feature.end	
HSX1	tR(CCU)J	JRIQ01000140.1	Sigma1278b	54272	54343	
HSX1	tR(CCU)J	JRIV01000078.1	CEN.PK2-1Ca	2324	2253	
HSX1	tR(CCU)J	JRIY01000190.1	D273-10B	71199	71270	
HSX1	tR(CCU)J	JRIT01000073.1	FL100	54322	54393	
HSX1	tR(CCU)J	JRIZ01000094.1	JK9-3d	164491	164420	
HSX1	tR(CCU)J	JRIP01000051.1	RM11-1A	71710	71781	
HSX1	tR(CCU)J	JRIW01000121.1	SEY6210	164112	164041	
HSX1	tR(CCU)J	JRIU01000318.1	W303	158	229	
HSX1	tR(CCU)J	JRIX01000004.1	X2180-1A	158	229	
HSX1	tR(CCU)J	JRIF01000140.1	Y55	2266	2195	
ARS1	ARS1	JRIQ01000126.1	Sigma1278b	10383	10328	
ARS1	ARS1	JRIV01000173.1	CEN.PK2-1Ca	10351	10296	
ARS1	ARS1	JRIY01000124.1	D273-10B	10351	10296	
ARS1	ARS1	JRIT01000031.1	FL100	78054	78109	
ARS1	ARS1	JRIZ01000117.1	JK9-3d	25098	25153	
ARS1	ARS1	JRIP01000072.1	RM11-1A	77120	77175	
ARS1	ARS1	JRIU01000037.1	W303	233409	233464	
ARS1	ARS1	JRIX01000009.1	X2180-1A	235091	235146	
ARS1	ARS1	JRIF01000169.1	Y55	10385	10330	
ARS1004	ARS1004	JRIV01000167.1	CEN.PK2-1Ca	130936	130440	
ARS1004	ARS1004	JRIT01000035.1	FL100	131067	130571	
ARS1004	ARS1004	JRIW01000201.1	SEY6210	3046	3542	
ARS1004	ARS1004	JRIU01000126.1	W303	130862	130366	
ARS1004	ARS1004	JRIX01000043.1	X2180-1A	130894	130398	
ARS1005	ARS1005	JRIY01000121.1	D273-10B	61020	61092	
ARS1005	ARS1005	JRIT01000035.1	FL100	87066	86993	
ARS1005	ARS1005	JRIZ01000051.1	JK9-3d	86727	86655	
ARS1005	ARS1005	JRIW01000201.1	SEY6210	47047	47120	
ARS1005	ARS1005	JRIU01000126.1	W303	86861	86788	
ARS1005	ARS1005	JRIX01000043.1	X2180-1A	86832	86759	
ARS1005	ARS1005	JRIF01000013.1	Y55	87345	87273	
ARS1006	ARS1006	JRIQ01000033.1	Sigma1278b	92491	92698	
ARS1006	ARS1006	JRIV01000167.1	CEN.PK2-1Ca	55132	54926	
ARS1006	ARS1006	JRIY01000121.1	D273-10B	92682	92902	
ARS1006	ARS1006	JRIT01000035.1	FL100	55189	54969	
ARS1006	ARS1006	JRIZ01000051.1	JK9-3d	55108	54888	
ARS1006	ARS1006	JRIP01000117.1	RM11-1A	54847	54640	
ARS1006	ARS1006	JRIW01000201.1	SEY6210	78842	79062	
ARS1006	ARS1006	JRIU01000126.1	W303	55067	54847	
ARS1006	ARS1006	JRIX01000043.1	X2180-1A	55193	54973	
ARS1006	ARS1006	JRIF01000013.1	Y55	55147	54938	
ARS1007	ARS1007	JRIQ01000033.1	Sigma1278b	106701	106772	
ARS1007	ARS1007	JRIV01000167.1	CEN.PK2-1Ca	40919	40848	
ARS1007	ARS1007	JRIY01000121.1	D273-10B	106902	106973	
ARS1007	ARS1007	JRIT01000035.1	FL100	40969	40898	
ARS1007	ARS1007	JRIZ01000051.1	JK9-3d	40888	40817	
ARS1007	ARS1007	JRIP01000117.1	RM11-1A	40641	40570	
ARS1007	ARS1007	JRIW01000201.1	SEY6210	93062	93133	
ARS1007	ARS1007	JRIU01000126.1	W303	40847	40776	
ARS1007	ARS1007	JRIX01000043.1	X2180-1A	40973	40902	
ARS1007	ARS1007	JRIF01000013.1	Y55	40941	40870	
ARS1009	ARS1009	JRIQ01000143.1	Sigma1278b	126242	125751	
ARS1009	ARS1009	JRIV01000144.1	CEN.PK2-1Ca	24813	25304	
ARS1009	ARS1009	JRIY01000186.1	D273-10B	126436	125945	
ARS1009	ARS1009	JRIT01000101.1	FL100	126063	125572	
ARS1009	ARS1009	JRIZ01000102.1	JK9-3d	110056	109565	
ARS1009	ARS1009	JRIP01000078.1	RM11-1A	125832	125341	
ARS1009	ARS1009	JRIW01000076.1	SEY6210	125999	125508	
ARS1009	ARS1009	JRIU01000012.1	W303	24226	24717	
ARS1009	ARS1009	JRIX01000108.1	X2180-1A	125942	125451	
ARS1009	ARS1009	JRIF01000224.1	Y55	126387	125896	
ARS101	ARS101	JRIQ01000090.1	Sigma1278b	19573	19792	
ARS101	ARS101	JRIV01000006.1	CEN.PK2-1Ca	19575	19795	
ARS101	ARS101	JRIY01000139.1	D273-10B	19534	19754	
ARS101	ARS101	JRIT01000028.1	FL100	15115	14895	
ARS101	ARS101	JRIZ01000133.1	JK9-3d	368	148	
ARS101	ARS101	JRIP01000086.1	RM11-1A	19537	19757	
ARS101	ARS101	JRIW01000141.1	SEY6210	582	362	
ARS101	ARS101	JRIU01000169.1	W303	19595	19815	
ARS101	ARS101	JRIX01000075.1	X2180-1A	19587	19807	
ARS101	ARS101	JRIF01000173.1	Y55	20122	20340	
ARS1010	ARS1010	JRIQ01000143.1	Sigma1278b	55670	55406	
ARS1010	ARS1010	JRIV01000144.1	CEN.PK2-1Ca	95243	95507	
ARS1010	ARS1010	JRIY01000186.1	D273-10B	56007	55743	
ARS1010	ARS1010	JRIT01000101.1	FL100	55633	55369	
ARS1010	ARS1010	JRIZ01000102.1	JK9-3d	39645	39381	
ARS1010	ARS1010	JRIP01000078.1	RM11-1A	55333	55069	
ARS1010	ARS1010	JRIW01000076.1	SEY6210	55583	55319	
ARS1010	ARS1010	JRIU01000012.1	W303	94656	94920	
ARS1010	ARS1010	JRIX01000108.1	X2180-1A	55513	55249	
ARS1010	ARS1010	JRIF01000224.1	Y55	55921	55657	
ARS1011	ARS1011	JRIQ01000143.1	Sigma1278b	17432	17184	
ARS1011	ARS1011	JRIV01000144.1	CEN.PK2-1Ca	133543	133791	
ARS1011	ARS1011	JRIY01000186.1	D273-10B	17698	17450	
ARS1011	ARS1011	JRIT01000101.1	FL100	17333	17085	
ARS1011	ARS1011	JRIZ01000102.1	JK9-3d	1345	1097	
ARS1011	ARS1011	JRIP01000078.1	RM11-1A	17040	16793	
ARS1011	ARS1011	JRIW01000076.1	SEY6210	17283	17035	
ARS1011	ARS1011	JRIU01000012.1	W303	132956	133204	
ARS1011	ARS1011	JRIX01000108.1	X2180-1A	17213	16965	
ARS1011	ARS1011	JRIF01000224.1	Y55	17643	17396	
ARS1012	ARS1012	JRIQ01000026.1	Sigma1278b	19535	19777	
ARS1012	ARS1012	JRIV01000142.1	CEN.PK2-1Ca	49975	49733	
ARS1012	ARS1012	JRIY01000004.1	D273-10B	19551	19793	
ARS1012	ARS1012	JRIT01000025.1	FL100	40425	40183	
ARS1012	ARS1012	JRIZ01000126.1	JK9-3d	50124	49882	
ARS1012	ARS1012	JRIP01000111.1	RM11-1A	25386	25144	
ARS1012	ARS1012	JRIW01000050.1	SEY6210	79026	78784	
ARS1012	ARS1012	JRIU01000116.1	W303	40271	40029	
ARS1012	ARS1012	JRIX01000205.1	X2180-1A	79352	79110	
ARS1012	ARS1012	JRIF01000022.1	Y55	19565	19807	
ARS1013	ARS1013	JRIQ01000026.1	Sigma1278b	20361	20882	
ARS1013	ARS1013	JRIV01000142.1	CEN.PK2-1Ca	49149	48628	
ARS1013	ARS1013	JRIY01000004.1	D273-10B	20377	20897	
ARS1013	ARS1013	JRIT01000025.1	FL100	39599	39078	
ARS1013	ARS1013	JRIZ01000126.1	JK9-3d	49298	48777	
ARS1013	ARS1013	JRIP01000111.1	RM11-1A	24560	24039	
ARS1013	ARS1013	JRIW01000050.1	SEY6210	78200	77679	
ARS1013	ARS1013	JRIU01000116.1	W303	39445	38924	
ARS1013	ARS1013	JRIX01000205.1	X2180-1A	78526	78005	
ARS1013	ARS1013	JRIF01000022.1	Y55	20391	20912	
ARS1014	ARS1014	JRIQ01000127.1	Sigma1278b	36654	36409	
ARS1014	ARS1014	JRIV01000142.1	CEN.PK2-1Ca	7682	7437	
ARS1014	ARS1014	JRIY01000004.1	D273-10B	62298	62543	
