orf19_id	a22_systematic_name	gene_name	other_alleles
orf19.1007	CR_05260C_A	KCS1	CR_05260C_B
orf19.101	C6_00990W_A	RIM9	C6_00990W_B
orf19.1011	CR_05300C_A	MNN21	CR_05300C_B
orf19.1012	CR_05310W_A		CR_05310W_B
orf19.102	C6_01000C_A	AEP1	C6_01000C_B
orf19.1026	C1_03830C_A		C1_03830C_B
orf19.1027	C1_03820W_A	PDR16	C1_03820W_B
orf19.1028	C1_03810C_A	ELA1	C1_03810C_B
orf19.1029	C1_03800W_A	RPP1	C1_03800W_B
orf19.103	C6_01010W_A	KAR5	C6_01010W_B
orf19.1030	C1_03790C_A		C1_03790C_B
orf19.1031	C1_03780C_A	HMG1	C1_03780C_B
orf19.1032	C1_03770W_A	SKO1	C1_03770W_B
orf19.1033	C1_03760C_A	STR2	C1_03760C_B
orf19.1035	C1_03740W_A	WAR1	C1_03740W_B
orf19.1036	C1_03730C_A	MNS1	C1_03730C_B
orf19.1039	C1_04070C_A	BET4	C1_04070C_B
orf19.1040	C1_04080W_A	MAD2	C1_04080W_B
orf19.1041	C1_04090C_A		C1_04090C_B
orf19.1042	C1_04100C_A	POR1	C1_04100C_B
orf19.1043	C1_04110W_A		C1_04110W_B
orf19.1045	C1_04120C_A		C1_04120C_B
orf19.1047	C1_04130W_A	ERB1	C1_04130W_B
orf19.1050	C1_04160C_A		C1_04160C_B
orf19.1051	C1_04170C_A	HTA2	C1_04170C_B
orf19.1053	C1_04190C_A	BST1	C1_04190C_B
orf19.1054	C1_04200C_A		C1_04200C_B
orf19.1055	C1_04210C_A	CDC3	C1_04210C_B
orf19.1058	C1_04230W_A	RPN13	C1_04230W_B
orf19.1059	C1_04240C_A	HHF1	C1_04240C_B
orf19.1063	C1_04280C_A		C1_04280C_B
orf19.1064	C1_04290C_A	ACS2	C1_04290C_B
orf19.1065	C1_04300C_A	SSA2	C1_04300C_B
orf19.1066	C1_04310C_A	GIG1	C1_04310C_B
orf19.1069	C1_04330W_A	RPN4	C1_04330W_B
orf19.107	C6_01040C_A		C6_01040C_B
orf19.1070	C1_04340C_A		C1_04340C_B
orf19.1077	C6_04210C_A	ATM1	C6_04210C_B
orf19.1078	C6_04220C_A	HBR2	C6_04220C_B
orf19.1082.1	C6_04250W_A		C6_04250W_B
orf19.1083	C6_04260C_A		C6_04260C_B
orf19.1084	C6_04270W_A	CDC39	C6_04270W_B
orf19.1085	C6_04280W_A		C6_04280W_B
orf19.1086	C6_04290W_A		C6_04290W_B
orf19.1089	C6_04310W_A	PEX11	C6_04310W_B
orf19.109	C6_01050W_A		C6_01050W_B
orf19.1091	C6_04330W_A	NOP8	C6_04330W_B
orf19.1092	C6_04340W_A		C6_04340W_B
orf19.1093	C6_04350C_A	FLO8	C6_04350C_B
orf19.1095	C6_04360C_A	GLE2	C6_04360C_B
orf19.1107	C5_03870C_A		C5_03870C_B
orf19.1108	C5_03860W_A	HAM1	C5_03860W_B
orf19.111	C6_01060C_A	CAN2	C6_01060C_B
orf19.1110	C5_03840W_A		C5_03840W_B
orf19.1111	C5_03830C_A	TAF9	C5_03830C_B
orf19.1112	C5_03820C_A	BUD7	C5_03820C_B
orf19.1114	C5_03800W_A		C5_03800W_B
orf19.1115	C5_03790W_A	GUK1	C5_03790W_B
orf19.1119	C5_03760C_A	MTR10	C5_03760C_B
orf19.1124.2	C5_03700C_A		C5_03700C_B
orf19.1133	C1_03710C_A	MSB1	C1_03710C_B
orf19.1135	C1_11810W_A	CAS1	C1_11810W_B
orf19.1136	C1_11800C_A		C1_11800C_B
orf19.1137	C1_11790W_A		C1_11790W_B
orf19.1139	C1_11770C_A		C1_11770C_B
orf19.1142	C1_11750W_A	AVT4	C1_11750W_B
orf19.1153	C1_11660W_A	GAD1	C1_11660W_B
orf19.1154	C1_11650W_A	EGD1	C1_11650W_B
orf19.1155	C1_11640C_A	DPP2	C1_11640C_B
orf19.1156	C1_11630C_A	FUS1	C1_11630C_B
orf19.1158	C1_11620W_A		C1_11620W_B
orf19.1160	C1_11600W_A		C1_11600W_B
orf19.1161	C1_11590W_A	PLD1	C1_11590W_B
orf19.1162.1	C1_11570W_A		C1_11570W_B
orf19.1163	C1_11560C_A		C1_11560C_B
orf19.1164	C1_11550W_A	GAR1	C1_11550W_B
orf19.1166	C1_11540C_A	CTA3	C1_11540C_B
orf19.1167	C1_11530C_A		C1_11530C_B
orf19.1169	C1_11510C_A		C1_11510C_B
orf19.117	C6_01100W_A	SEC9	C6_01100W_B
orf19.1170	C1_11500C_A	ARO7	C1_11500C_B
orf19.1177	C6_00190W_A		C6_00190W_B
orf19.1180	C6_00210W_A		C6_00210W_B
orf19.1182	C6_00240C_A		C6_00240C_B
orf19.1183	C6_00250W_A		C6_00250W_B
orf19.1185	C6_00260W_A		C6_00260W_B
orf19.1187	C6_00280W_A	CPH2	C6_00280W_B
orf19.119	C6_01120C_A		C6_01120C_B
orf19.1191	C6_00310W_A		C6_00310W_B
orf19.1192	C6_00320C_A	DNA2	C6_00320C_B
orf19.1193	C6_00330C_A	GNP1	C6_00330C_B
orf19.1195	C6_00340C_A	OCT1	C6_00340C_B
orf19.1196	C6_00350W_A	PKH3	C6_00350W_B
orf19.1198	C6_00360C_A		C6_00360C_B
orf19.1199	C6_00370C_A	NOP5	C6_00370C_B
orf19.1201	C6_00390W_A		C6_00390W_B
orf19.1203	C6_00410C_A	SRO77	C6_00410C_B
orf19.1204	C6_00430C_A		C6_00430C_B
orf19.121	C6_01140C_A	ARC18	C6_01140C_B
orf19.1210	C6_04110W_A		C6_04110W_B
orf19.1212	C6_04100W_A		C6_04100W_B
orf19.1214	C6_04080W_A		C6_04080W_B
orf19.1217	C6_04060W_A		C6_04060W_B
orf19.122	C6_01150W_A	CDC20	C6_01150W_B
orf19.1220	C6_04040C_A	RVS167	C6_04040C_B
orf19.1221	C6_04030W_A	ALG2	C6_04030W_B
orf19.1223	C2_06670C_A	DBF2	C2_06670C_B
orf19.1224	C2_06680W_A	FRP3	C2_06680W_B
orf19.1228	C1_07680W_A	HAP2	C1_07680W_B
orf19.1229	C1_07690C_A		C1_07690C_B
orf19.1232	C1_07700C_A	VRG4	C1_07700C_B
orf19.1233	C1_07710C_A	ADE4	C1_07710C_B
orf19.1235	C4_05540W_A	HOM3	C4_05540W_B
orf19.1236	C4_05550C_A	GVP36	C4_05550C_B
orf19.1237	C4_05560C_A	ARO9	C4_05560C_B
orf19.1238	C4_05570C_A	TUB4	C4_05570C_B
orf19.124	C6_01170W_A	CIC1	C6_01170W_B
orf19.1240	C4_05590W_A		C4_05590W_B
orf19.1244	C4_05600W_A	GYP2	C4_05600W_B
orf19.1246	C4_05610C_A	SEG1	C4_05610C_B
orf19.1248	C4_05630W_A		C4_05630W_B
orf19.1249	C4_05640C_A		C4_05640C_B
orf19.1250	C4_05650W_A		C4_05650W_B
orf19.1251	C4_05660C_A	BRN1	C4_05660C_B
orf19.1252	C4_05670W_A	YME1	C4_05670W_B
orf19.1253	C4_05680W_A	PHO4	C4_05680W_B
orf19.1254	C4_05690W_A	SEC23	C4_05690W_B
orf19.1259	C4_05740C_A		C4_05740C_B
orf19.1260	C4_05750C_A	LEA1	C4_05750C_B
orf19.1261	C4_05760W_A	CGT1	C4_05760W_B
orf19.1265	C4_05790W_A		C4_05790W_B
orf19.1267	C4_05810W_A		C4_05810W_B
orf19.1267.1	C4_05820W_A		C4_05820W_B
orf19.1272	C4_05850C_A		C4_05850C_B
orf19.1273	C4_05860W_A		C4_05860W_B
orf19.1275	C4_05880W_A	GAT1	C4_05880W_B
orf19.1279	C5_04100W_A	CDS1	C5_04100W_B
orf19.1280	C5_04090C_A	SUI1	C5_04090C_B
orf19.1281	C5_04080C_A	CWC25	C5_04080C_B
orf19.1282	C5_04070C_A	CKS1	C5_04070C_B
orf19.1283	C5_04060C_A	MEC1	C5_04060C_B
orf19.1285	C5_04050W_A		C5_04050W_B
orf19.1288	C3_00810C_A	FOX2	C3_00810C_B
orf19.1289	C3_00820W_A	SCT1	C3_00820W_B
orf19.1290	C4_05300W_A	XKS1	C4_05300W_B
orf19.1291	C4_05290W_A	ABZ1	C4_05290W_B
orf19.1295	C2_06640C_A	VAS1	C2_06640C_B
orf19.1296	C2_06650C_A		C2_06650C_B
orf19.1297	C4_03810W_A		C4_03810W_B
orf19.1298	C4_03800C_A	NUP84	C4_03800C_B
orf19.1299	C4_03790W_A	RPN6	C4_03790W_B
orf19.130	C6_01190C_A	VPS15	C6_01190C_B
orf19.1300	C4_03780C_A		C4_03780C_B
orf19.1301	C4_03770W_A		C4_03770W_B
orf19.1303	C4_03750C_A		C4_03750C_B
orf19.1304	C4_03740W_A		C4_03740W_B
orf19.1305	C4_03730C_A		C4_03730C_B
orf19.1308	C4_03700W_A		C4_03700W_B
orf19.131.2	C6_01210W_A		C6_01210W_B
orf19.1310	C4_03680C_A		C4_03680C_B
orf19.1311	C4_03670W_A	SPO75	C4_03670W_B
