systematic_name	dbentity_id	so_id	contig_id	taxonomy_id	strand	genomic_start_index	genomic_end_index	genomic_file_header	genomic_download_filename	oneKB_start	oneKB_end	oneKB_file_header	oneKB_download_filename
YNCJ0025W	1267076	267488	1381823	274916	+	54272	54343	>YNCJ0025W HSX1 Sigma1278b JRIQ01000140.1:54272..54343	YNCJ0025W_Sigma1278b_genomic.fsa	53272	55343	>YNCJ0025W HSX1 Sigma1278b JRIQ01000140.1:53272..55343 +/- 1kb	YNCJ0025W_Sigma1278b_1kb.fsa
YNCJ0025W	1267076	267488	1383437	275338	-	2253	2324	>YNCJ0025W HSX1 CEN.PK JRIV01000078.1:2253..2324	YNCJ0025W_CEN.PK_genomic.fsa	1253	3324	>YNCJ0025W HSX1 CEN.PK JRIV01000078.1:1253..3324 +/- 1kb	YNCJ0025W_CEN.PK_1kb.fsa
YNCJ0025W	1267076	267488	1383718	275315	+	71199	71270	>YNCJ0025W HSX1 D273-10B JRIY01000190.1:71199..71270	YNCJ0025W_D273-10B_genomic.fsa	70199	72270	>YNCJ0025W HSX1 D273-10B JRIY01000190.1:70199..72270 +/- 1kb	YNCJ0025W_D273-10B_1kb.fsa
YNCJ0025W	1267076	267488	1384452	274944	+	54322	54393	>YNCJ0025W HSX1 FL100 JRIT01000073.1:54322..54393	YNCJ0025W_FL100_genomic.fsa	53322	55393	>YNCJ0025W HSX1 FL100 JRIT01000073.1:53322..55393 +/- 1kb	YNCJ0025W_FL100_1kb.fsa
YNCJ0025W	1267076	267488	1385024	275321	-	164420	164491	>YNCJ0025W HSX1 JK9-3d JRIZ01000094.1:164420..164491	YNCJ0025W_JK9-3d_genomic.fsa	163420	165491	>YNCJ0025W HSX1 JK9-3d JRIZ01000094.1:163420..165491 +/- 1kb	YNCJ0025W_JK9-3d_1kb.fsa
YNCJ0025W	1267076	267488	1386788	274425	+	71710	71781	>YNCJ0025W HSX1 RM11-1A JRIP01000051.1:71710..71781	YNCJ0025W_RM11-1A_genomic.fsa	70710	72781	>YNCJ0025W HSX1 RM11-1A JRIP01000051.1:70710..72781 +/- 1kb	YNCJ0025W_RM11-1A_1kb.fsa
YNCJ0025W	1267076	267488	1386999	275326	-	164041	164112	>YNCJ0025W HSX1 SEY6210 JRIW01000121.1:164041..164112	YNCJ0025W_SEY6210_genomic.fsa	163041	165112	>YNCJ0025W HSX1 SEY6210 JRIW01000121.1:163041..165112 +/- 1kb	YNCJ0025W_SEY6210_1kb.fsa
YNCJ0025W	1267076	267488	1388844	274910	+	158	229	>YNCJ0025W HSX1 W303 JRIU01000318.1:158..229	YNCJ0025W_W303_genomic.fsa	1	1229	>YNCJ0025W HSX1 W303 JRIU01000318.1:1..1229 +/- 1kb	YNCJ0025W_W303_1kb.fsa
YNCJ0025W	1267076	267488	1388889	275329	+	158	229	>YNCJ0025W HSX1 X2180-1A JRIX01000004.1:158..229	YNCJ0025W_X2180-1A_genomic.fsa	1	1229	>YNCJ0025W HSX1 X2180-1A JRIX01000004.1:1..1229 +/- 1kb	YNCJ0025W_X2180-1A_1kb.fsa
YNCJ0025W	1267076	267488	1389206	275334	-	2195	2266	>YNCJ0025W HSX1 Y55 JRIF01000140.1:2195..2266	YNCJ0025W_Y55_genomic.fsa	1195	2706	>YNCJ0025W HSX1 Y55 JRIF01000140.1:1195..2706 +/- 1kb	YNCJ0025W_Y55_1kb.fsa
